id	town	user	pop	latitude	longitude	code
1826	"Pusztavam"	796	2413	47.431349	18.228181	1777
1827	"Pusztazamor"	365	1211	47.402865	18.7817	1558
1828	"Putnok"	1820	6634	48.294399	20.433909	2741
1829	"Rabacsanak"	203	460	47.525984	17.290292	479
1830	"Rabacsecseny"	199	602	47.58601	17.42445	3370
1831	"Rabagyarmat"	192	788	46.94393	16.42201	2673
1832	"Rabahidveg"	242	949	47.069305	16.74368	319
1833	"Rabakecol"	248	665	47.43087	17.11092	1479
1834	"Rabapatona"	857	2426	47.63152	17.481569	2533
1835	"Rabapaty"	380	1715	47.311905	16.93313	2607
1836	"Rabapordany"	323	988	47.558791	17.328352	2472
1837	"Rabaszentandras"	109	497	47.457137	17.333513	1527
1838	"Rabaszentmihaly"	195	479	47.577379	17.430981	3371
1839	"Rabaszentmiklos"	63	127	47.539188	17.416276	1729
1840	"Rabatamasi"	316	1011	47.586796	17.170602	1542
1841	"Rabatottos"	47	206	47.13205	16.810591	1799
1842	"Rabcakapi"	29	168	47.708345	17.27619	375
1843	"Racalmas"	1489	4488	47.027126	18.937972	990
1844	"Rackeresztur"	1241	3311	47.274588	18.827754	201
1845	"Rackeve"	3649	10022	47.158765	18.944805	1726
1846	"Rad"	519	1932	47.792865	19.218535	237
1847	"Radostyan"	122	591	48.17993	20.651085	2119
1848	"Ragaly"	115	649	48.405731	20.515039	605
1849	"Rajka"	804	2563	48.000265	17.195595	2658
1850	"Rakamaz"	1410	4545	48.122553	21.464641	1473
1851	"Rakoczifalva"	1562	5359	47.0908	20.23428	1420
1852	"Rakocziujfalu"	494	2002	47.05754	20.263495	1242
1853	"Ramocsa"	8	43	46.775522	16.447808	1429
1854	"Ramocsahaza"	355	1473	48.04134	21.9926	3185
1855	"Ratka"	270	946	48.214025	21.229	1246
1856	"Ratot"	64	290	46.96583	16.424945	2386
1857	"Ravazd"	388	1210	47.519617	17.751152	2180
1858	"Recsk"	673	2656	47.935296	20.107965	960
1859	"Rede"	363	1348	47.430449	17.916852	3001
1860	"Redics"	311	940	46.616113	16.479996	3159
1861	"Regec"	38	100	48.392996	21.345037	840
1862	"Regoly"	333	1104	46.57798	18.3906	1545
1863	"Rem"	358	1295	46.250775	19.141885	2631
1864	"Repashuta"	120	464	48.052365	20.528234	3188
1865	"Repcelak"	1156	2414	47.42201	17.022173	3088
1866	"Repceszemere"	86	256	47.427435	16.975305	1443
1867	"Repceszentgyorgy"	36	100	47.351009	16.847349	2862
1868	"Repcevis"	114	334	47.441423	16.676419	774
1869	"Retalap"	27	554	47.61074	17.900085	3396
1870	"Retkozberencs"	173	1153	48.205009	22.010229	2157
1871	"Retsag"	1150	2895	47.92796	19.13731	2382
1872	"Revfulop"	426	1062	46.82774	17.629181	562
1873	"Revleanyvar"	118	469	48.32311	22.041292	931
1874	"Rezi"	233	1166	46.841046	17.220443	2389
1875	"Ricse"	362	1661	48.326535	21.971095	1922
1876	"Rigyac"	85	406	46.46555	16.863775	2413
1877	"Rimoc"	290	1757	48.040741	19.529196	2888
1878	"Rohod"	222	1199	48.02853	22.13419	2458
1879	"Rojtokmuzsaj"	142	445	47.55629	16.835211	1106
1880	"Romand"	86	279	47.44667	17.791545	1750
1881	"Romhany"	667	2199	47.926012	19.25736	1219
1882	"Romonya"	126	486	46.08689	18.33813	2485
1883	"Ronok"	57	437	46.976959	16.368521	2680
1884	"Roszke"	977	3176	46.187408	20.03755	1316
1885	"Rozsaly"	147	751	47.924365	22.8026	1742
